admission_source_id,admission_source_id_desc
1,Physician Referral
2,Clinic Referral
3,HMO Referral
4,Transfer from a hospital
5,Transfer from a Skilled Nursing Facility (SNF)
6,Transfer from another health care facility
7,Emergency Room
8,Court/Law Enforcement
9,Unknown
10,Transfer from critial access hospital
11,Normal Delivery
12,Premature Delivery
13,Sick Baby
14,Extramural Birth
15,Unknown
17,Unknown
18,Transfer From Another Home Health Agency
19,Readmission to Same Home Health Agency
20,Unknown
21,Unknown
22,Transfer from hospital inpt/same fac reslt in a sep claim
23,Born inside this hospital
24,Born outside this hospital
25,Transfer from Ambulatory Surgery Center
26,Transfer from Hospice
